nerd,params,country,score
Technically Savvy,Reliability,Gambia,0.6
Technically Savvy,Reliability,Equatorial Guinea,0.19999999999999998
Technically Savvy,Reliability,Swaziland,0.7999999999999999
Technically Savvy,User Reviews,France,2115.3999999999705
Technically Savvy,User Reviews,Morocco,32.0
Technically Savvy,User Reviews,Germany,1871.6999999999907
Technically Savvy,User Reviews,Italy,2263.099999999983
Technically Savvy,User Reviews,Argentina,235.30000000000004
Technically Savvy,User Reviews,Mexico,456.60000000000053
Technically Savvy,User Reviews,Costa Rica,36.000000000000014
Technically Savvy,User Reviews,Cuba,7.3
Technically Savvy,User Reviews,USA,1267.8000000000009
Technically Savvy,User Reviews,Canada,282.9000000000002
Technically Savvy,User Reviews,Switzerland,266.3999999999995
Technically Savvy,User Reviews,Turkey,19.699999999999992
Technically Savvy,User Reviews,Thailand,13.7
Technically Savvy,User Reviews,Brazil,833.9000000000011
Technically Savvy,User Reviews,England,410.69999999999897
Technically Savvy,User Reviews,New Zealand,36.10000000000001
Technically Savvy,User Reviews,Latvia,5.0
Technically Savvy,User Reviews,Denmark,20.9
Technically Savvy,User Reviews,Ireland,36.099999999999994
Technically Savvy,User Reviews,Czech Republic,18.2
Technically Savvy,User Reviews,nan,7.1000000000000005
Technically Savvy,User Reviews,Spain,518.9
Technically Savvy,User Reviews,Australia,198.5999999999999
Technically Savvy,User Reviews,Panama,8.399999999999999
Technically Savvy,User Reviews,Chile,128.5
Technically Savvy,User Reviews,Greece,44.00000000000001
Technically Savvy,User Reviews,Portugal,32.800000000000004
Technically Savvy,User Reviews,Venezuela,88.1
